[2026-04-25 16:53:24] INFO    trainer — LogisticRegression(C=100, penalty=l2) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42} | run_id=logreg_baseline
[2026-04-25 16:54:03] INFO    trainer — LogisticRegression(C=100, penalty=l2) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42} | run_id=compare_v1_1
[2026-04-25 16:54:09] INFO    trainer — RandomForest(n=300, depth=5) | score=0.8328 ± 0.0098 | params={'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 10, 'random_state': 42} | run_id=compare_v1_2
[2026-04-25 16:54:12] INFO    trainer — GradientBoosting(n=300, lr=0.03, depth=2) | score=0.8328 ± 0.0085 | params={'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'random_state': 42} | run_id=compare_v1_3
[2026-04-25 16:55:53] INFO    trainer — LogisticRegression(C=100, penalty=l2) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42} | run_id=logreg_baseline
[2026-04-25 17:00:13] INFO    trainer — LogisticRegression(C=100, penalty=l2) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42} | run_id=logreg_baseline
[2026-04-25 17:01:19] INFO    trainer — LogisticRegression(C=100, penalty=l2) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42} | run_id=logreg_baseline
[2026-04-25 17:01:38] INFO    trainer — LogisticRegression(C=100, penalty=l2) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42} | run_id=logreg_baseline
[2026-04-25 17:04:27] INFO    trainer — LogisticRegression(C=100, penalty=l2) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42} | run_id=logreg_baseline
[2026-04-25 17:12:26] INFO    trainer — LogisticRegression(C=100, penalty=None) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'l1_ratio': 0, 'solver': 'lbfgs', 'random_state': 42} | run_id=logreg_baseline
[2026-04-25 17:12:34] INFO    trainer — LogisticRegression(C=100, penalty=None) | score=0.8305 ± 0.0115 | params={'max_iter': 2000, 'C': 100, 'l1_ratio': 0, 'solver': 'lbfgs', 'random_state': 42} | run_id=compare_v1_1
[2026-04-25 17:12:40] INFO    trainer — RandomForest(n=300, depth=5) | score=0.8328 ± 0.0098 | params={'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 10, 'random_state': 42} | run_id=compare_v1_2
[2026-04-25 17:12:43] INFO    trainer — GradientBoosting(n=300, lr=0.03, depth=2) | score=0.8328 ± 0.0085 | params={'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 3, 'random_state': 42} | run_id=compare_v1_3
